address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Famngatan 10 ,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1635.0,1725000,2022-09-07,0.0,59483.0,0.0,0.0,57.6626334,11.9270175
Famngatan 8,Lägenhet,Högsbo,Göteborgs kommun,29.0,1.0,1600.0,1775000,2022-09-07,0.0,61207.0,0.0,0.0,57.6626334,11.9270175
Munkebäcksgatan 23 E,Lägenhet,Kålltorp,Göteborgs kommun,65.0,3.0,4510.0,3700000,2022-09-06,-5.0,56923.0,0.0,0.0,57.7170359,12.0244877
Teleskopgatan 14,Lägenhet,Bergsjön,Göteborgs kommun,73.0,2.0,5313.0,1295000,2022-09-06,0.0,17740.0,0.0,0.0,57.760575599999996,12.061175637808509
Blåbärsvägen 22,Villa,Tynnered ,Göteborgs kommun,151.0,5.0,,6500000,2022-09-06,0.0,43046.0,1128.5,23.0,57.6522052,11.886665587289324
Vestagatan 1,Lägenhet,Nya Gårda,Göteborgs kommun,123.0,4.0,6844.0,8430000,2022-09-06,12.0,68537.0,0.0,0.0,57.7115656,11.9945599
Övre Majorsgatan 10A,Lägenhet,Linnéstaden,Göteborgs kommun,63.0,2.0,3357.0,4950000,2022-09-06,4.0,78571.0,0.0,0.0,57.6937406,11.9494267
Sagogången 47,Lägenhet,Hisings Backa,Göteborgs kommun,45.0,2.0,2983.0,1575000,2022-09-06,-5.0,35000.0,0.0,0.0,57.740771,11.9750742
Nordenskiöldsgatan 13,Lägenhet,Linné,Göteborgs kommun,31.0,1.0,1742.0,2575000,2022-09-06,3.0,83065.0,0.0,0.0,57.6927263,11.9513447
Lars Kaggsgatan 45A,Lägenhet,Gamlestaden,Göteborgs kommun,60.0,2.0,3600.0,1800000,2022-09-06,-5.0,30000.0,0.0,0.0,57.7331017,12.0212473
Morängatan 8,Lägenhet,Strömmensberg,Göteborgs kommun,37.0,1.0,2495.0,2010000,2022-09-06,6.0,54324.0,0.0,0.0,57.7203992,12.017901
