address,housing_type,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude,post_code,region
Trollrunan 66,Radhus,Göteborgs kommun,98.0,4.0,,4350000.0,2022-09-18,-1.0,44388.0,182.2,0.0,57.7268431,11.761506, 423 32,Nolered
Kvarnkullevägen 6a,Lägenhet,Göteborgs kommun,77.5,3.0,4028.0,3400000.0,2022-09-18,5.0,43871.0,0.0,0.0,57.7232492,11.7710619, 423 32,Nolered
Kabelgatan 18,Lägenhet,Göteborgs kommun,54.5,2.0,4059.0,2335000.0,2022-09-18,-2.0,42844.0,0.0,0.0,57.68910395,11.925245319958893, 414 70,Majorna
Norra Liden 13,Lägenhet,Göteborgs kommun,117.0,4.0,6203.0,4900000.0,2022-09-18,-2.0,41880.0,0.0,0.0,57.7044108,11.9598914, 411 13,Inom Vallgraven
Barbro Hörbergs Gata 7,Lägenhet,Göteborgs kommun,98.5,4.0,4261.0,9025000.0,2022-09-18,0.0,91624.0,0.0,0.0,57.6991589,12.0161251, 412 49,Kärralund
Olivedalsgatan 2,Lägenhet,Göteborgs kommun,123.0,4.0,6771.0,6300000.0,2022-09-18,2.0,51220.0,0.0,0.0,57.6918239,11.9539865, 413 10,Olivedal
Kobbeslätten 6E,Lägenhet,Göteborgs kommun,55.0,2.0,3316.0,2225000.0,2022-09-18,-1.0,40455.0,0.0,0.0,57.6381419,11.9444436, 436 37,Askim
Stabbegatan 15,Lägenhet,Göteborgs kommun,62.0,3.0,3715.0,2500000.0,2022-09-17,-7.0,40323.0,0.0,0.0,57.7149083,12.0485613, 416 80,Björkekärr
Lövskogsgatan 6C,Lägenhet,Göteborgs kommun,50.0,2.0,2809.0,3075000.0,2022-09-17,-1.0,61500.0,0.0,0.0,57.6893247,11.9630988, 413 20,Guldheden
Norumsgärde 66,Radhus,Göteborgs kommun,108.0,5.0,,3750000.0,2022-09-17,-4.0,34722.0,153.0,54.0,57.7582498,11.9254396, 417 45,Tuve
Sollidsgatan 25,Radhus,Göteborgs kommun,211.0,8.0,,10600000.0,2022-09-17,0.0,50237.0,1003.0,123.0,57.6791664,11.9340658, 414 76,Kungsladugård
Träkilsgatan 40,Lägenhet,Göteborgs kommun,43.0,2.0,2631.0,2100000.0,2022-09-16,-5.0,48837.0,0.0,0.0,57.718673,12.0558882, 416 79,Björkekärr
Bromeliusgatan 14A,Lägenhet,Göteborgs kommun,50.0,2.0,2937.0,2395000.0,2022-09-16,4.0,47900.0,0.0,0.0,57.7194785,12.0271954, 416 73,Kålltorp
Gröna Gatan 33,Lägenhet,Göteborgs kommun,100.0,4.0,6067.0,4200000.0,2022-09-16,-7.0,42000.0,0.0,0.0,57.692572,11.9176563, 415 55,Majorna
Fredbergsgatan 5A,Lägenhet,Göteborgs kommun,37.0,1.0,2590.0,2425000.0,2022-09-16,0.0,65541.0,0.0,0.0,57.6929314,11.9347092, 414 64,Stigberget
Aschebergsgatan 7,Lägenhet,Göteborgs kommun,35.0,1.0,2287.0,3450000.0,2022-09-16,6.0,98571.0,0.0,0.0,57.6978933,11.9698672, 405 30,Vasastaden
Bergsjösvängen 10,Radhus,Göteborgs kommun,115.0,4.0,,2435000.0,2022-09-16,-2.0,21174.0,160.1,0.0,57.7464287,12.0727343, 415 20,Östra Bergsjön
Växelmyntsgatan 7K,Radhus,Göteborgs kommun,88.0,4.0,,4275000.0,2022-09-16,-3.0,48580.0,104.5,0.0,57.6737237,11.9113354, 414 82,Högsbohöjd
Linnégatan 55,Lägenhet,Göteborgs kommun,67.0,2.0,3368.0,3540000.0,2022-09-16,3.0,52836.0,0.0,0.0,57.6928416,11.9522201, 413 08,Olivedal
Viktoriagatan 14,Lägenhet,Göteborgs kommun,25.0,1.0,426.0,2525000.0,2022-09-16,2.0,101000.0,0.0,0.0,57.6983453,11.9655984, 411 25,Vasastaden
Amiralitetsgatan 11D,Lägenhet,Göteborgs kommun,53.0,2.0,3054.0,3050000.0,2022-09-16,2.0,57547.0,0.0,0.0,57.696368,11.9332053, 414 62,Stigberget
Cederbourgsgatan 9,Lägenhet,Göteborgs kommun,38.0,2.0,2549.0,2500000.0,2022-09-16,-3.0,65789.0,0.0,0.0,57.694235,11.9886749, 412 55,Krokslätt
Lillatorpsgatan 3A,Lägenhet,Göteborgs kommun,91.0,3.0,4500.0,5450000.0,2022-09-16,-5.0,59890.0,0.0,0.0,57.7048828,12.0256471, 416 54,Kärralund
Cederflychts Gata 3,Lägenhet,Göteborgs kommun,66.1,2.0,4479.0,1475000.0,2022-09-16,0.0,22315.0,0.0,0.0,57.7536665,11.989464572082696, 422 48,Skälltorp
Burskapsgatan 34,Villa,Göteborgs kommun,82.0,5.0,,5250000.0,2022-09-16,,64024.0,601.0,70.0,57.7464021,12.0500897, 415 06,Utby
Haletorpsvägen 5,Villa,Göteborgs kommun,170.0,6.0,,6450000.0,2022-09-16,2.0,37941.0,832.0,60.0,57.74001155,11.970211244318328, 422 51,Brunnsbo
Bäckebolsängen 5,Lägenhet,Göteborgs kommun,58.0,2.0,4085.0,1325000.0,2022-09-16,-9.0,22845.0,0.0,0.0,57.7537782,11.9888708, 422 48,Skälltorp
Plåtmyntsgatan 13,Lägenhet,Göteborgs kommun,29.0,1.0,2057.0,1725000.0,2022-09-16,8.0,59483.0,0.0,0.0,57.6740791,11.9259292, 414 81,Högsbotorp
Husviksvägen 30,Villa,Göteborgs kommun,142.0,6.0,,6000000.0,2022-09-16,5.0,42254.0,1020.0,20.0,57.6456866,11.7793016, 430 85,Södra Skärgården
Guldringen 15,Lägenhet,Göteborgs kommun,81.0,3.0,5612.0,2350000.0,2022-09-16,,29012.0,0.0,0.0,57.659019,11.8908944, 426 51,Guldringen
Övralidsgatan 21,Lägenhet,Göteborgs kommun,60.0,2.0,4547.0,1685000.0,2022-09-16,6.0,28083.0,0.0,0.0,57.7543682,11.975449, 422 47,Skälltorp
Kapplandsgatan 134,Lägenhet,Göteborgs kommun,26.8,1.0,1759.0,1585000.0,2022-09-16,-1.0,59142.0,0.0,0.0,57.6684788,11.933301, 414 79,Högsbotorp
Örnehufvudsgatan 3,Lägenhet,Göteborgs kommun,40.0,1.5,2635.0,2800000.0,2022-09-16,-2.0,70000.0,0.0,0.0,57.6882795,11.9841601, 412 60,Johanneberg
Silvermyntsgatan 7,Lägenhet,Göteborgs kommun,52.0,2.0,3591.0,2310000.0,2022-09-16,5.0,44423.0,0.0,0.0,57.6742185,11.928318, 414 81,Högsbotorp
Liedstrandsgatan 12,Lägenhet,Göteborgs kommun,100.0,4.0,4063.0,6180000.0,2022-09-16,,61800.0,0.0,0.0,57.70996,12.008030425579426, 416 59,Lunden
Gamla Sörredsvägen 177,Villa,Göteborgs kommun,167.7,5.0,,7250000.0,2022-09-16,-9.0,43232.0,641.0,0.0,57.7545723,11.8318047, 423 55,Björlanda
Vintervädersgatan 15,Lägenhet,Göteborgs kommun,73.9,3.0,4163.0,1740000.0,2022-09-16,3.0,23545.0,0.0,0.0,57.7252718,11.8959868, 418 38,Svartedalen
Jägaregatan 3A,Lägenhet,Göteborgs kommun,70.0,3.0,5368.0,2430000.0,2022-09-16,0.0,34714.0,0.0,0.0,57.7162845,11.9446885, 417 03,Rambergsstaden
Övre Majorsgatan 14A,Lägenhet,Göteborgs kommun,70.0,3.0,4348.0,4990000.0,2022-09-16,0.0,71286.0,0.0,0.0,57.6937406,11.9494267, 413 09,Olivedal
Hinderbanan 8,Lägenhet,Göteborgs kommun,89.0,3.0,4606.0,3625000.0,2022-09-16,-2.0,40730.0,0.0,0.0,57.7343667,12.0287497, 415 28,Gamlestaden
Ängemarken 11B,Lägenhet,Göteborgs kommun,37.0,1.0,2589.0,2300000.0,2022-09-16,-6.0,62162.0,0.0,0.0,57.6885156,11.9653733, 413 20,Guldheden
Kvillegatan 3,Lägenhet,Göteborgs kommun,74.0,3.0,4023.0,3450000.0,2022-09-16,3.0,46622.0,0.0,0.0,57.7181801,11.9520456, 417 08,Rambergsstaden
Skanstorget 3A,Lägenhet,Göteborgs kommun,51.0,2.0,2953.0,3625000.0,2022-09-16,-4.0,71078.0,0.0,0.0,57.6960638,11.9592431, 411 42,Haga
Kobergsgatan 11,Lägenhet,Göteborgs kommun,68.0,3.0,3741.0,3350000.0,2022-09-16,5.0,49265.0,0.0,0.0,57.7208217,12.0143946, 416 71,Bagaregården
Badvädersgatan 27,Lägenhet,Göteborgs kommun,66.9,3.0,4381.0,1650000.0,2022-09-16,-3.0,24664.0,0.0,0.0,57.7279052,11.89878, 418 38,Svartedalen
Båtsman Kapers Gata 20,Lägenhet,Göteborgs kommun,80.8,3.0,5432.0,2720000.0,2022-09-16,9.0,33663.0,0.0,0.0,57.7613215,11.9704273, 422 57,Skälltorp
Palmstedtsgatan 3A,Lägenhet,Göteborgs kommun,58.0,2.0,3920.0,3750000.0,2022-09-16,7.0,64655.0,0.0,0.0,57.6901674,11.9813192, 412 58,Johanneberg
