address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq
Övre Husargatan 17,Lägenhet,Linné,Göteborgs kommun,92.0,3.0,4870.0,6030000.0,2022-11-06,7.0,65543.0,0.0,0.0
Nordenskiöldsgatan 13,Lägenhet,Linné,Göteborgs kommun,75.0,3.0,3758.0,5000000.0,2022-11-06,14.0,66667.0,0.0,0.0
Kapellplatsen 1A  /  Erik Dahlbergsgatan 37B,Lägenhet,Vasastaden,Göteborgs kommun,50.0,2.0,3180.0,4300000.0,2022-11-06,-4.0,86000.0,0.0,0.0
Hammarliden 22,Villa,Johanneberg,Göteborgs kommun,148.0,5.0,,9950000.0,2022-11-05,-7.0,67230.0,988.7,60.0
Munkebäcksgatan 4B,Lägenhet,Kålltorp,Göteborgs kommun,48.0,2.0,2909.0,2200000.0,2022-11-05,2.0,45833.0,0.0,0.0
Toleredsgatan 20 C,Lägenhet,Slätta damm - Centrala Hisingen,Göteborgs kommun,64.0,3.0,4951.0,1875000.0,2022-11-05,-6.0,29297.0,0.0,0.0
Norumsgärde 113,Radhus,Tuve,Göteborgs kommun,108.0,5.0,,4150000.0,2022-11-05,-1.0,38426.0,159.7,42.0
Astris Gata 86,Lägenhet,Eriksberg,Göteborgs kommun,77.0,3.0,3527.0,3750000.0,2022-11-05,0.0,48701.0,0.0,0.0
Konsertgatan 13,Lägenhet,Kaverös,Göteborgs kommun,59.5,2.0,2532.0,2200000.0,2022-11-04,,36975.0,0.0,0.0
Beryllgatan 25,Lägenhet,Tynnered,Göteborgs kommun,67.5,2.0,4302.0,2230000.0,2022-11-04,6.0,33037.0,0.0,0.0
Sörbacken stuga 62,Fritidshus,GUNNILSE,Göteborgs kommun,35.0,2.0,,420000.0,2022-11-04,-7.0,12000.0,0.0,0.0
Norra Skeppspromenaden 6,Lägenhet,Eriksberg,Göteborgs kommun,75.0,3.0,4214.0,3800000.0,2022-11-04,-2.0,50667.0,0.0,0.0
Monsungatan 55,Lägenhet,Eriksberg,Göteborgs kommun,61.0,2.0,3784.0,3500000.0,2022-11-04,0.0,57377.0,0.0,0.0
