address,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,housing_type,other_srq,land_area,latitude,longitude,post_code,region
Vidblicksgatan 3,Göteborgs kommun,73.0,3.0,3602.0,5850000.0,2022-05-05,0.0,80137.0,Lägenhet,,0,57.6917781,11.9789828, 411 32,Johanneberg
Viktor Rydbergsgatan 46,Göteborgs kommun,66.0,2.0,3775.0,5000000.0,2022-05-04,,75758.0,Lägenhet,,0,57.69145435,11.98130980332257, 411 32,Johanneberg
Örnehufvudsgatan 17,Göteborgs kommun,50.0,2.0,3250.0,3450000.0,2022-05-01,2.0,69000.0,Lägenhet,,0,57.6868327,11.9841505, 412 59,Johanneberg
Eklandagatan 67A,Göteborgs kommun,45.0,2.0,2397.0,2900000.0,2022-05-01,12.0,64444.0,Lägenhet,,0,57.6860255,11.9824566, 412 59,Johanneberg
Eklandagatan 67A,Göteborgs kommun,36.0,1.5,1976.0,3000000.0,2022-03-08,22.0,83333.0,Lägenhet,,0,57.6860255,11.9824566, 412 59,Johanneberg
Frida Hjertbergs Gata 14,Göteborgs kommun,52.5,2.0,2146.0,4050000.0,2022-05-01,4.0,77143.0,Lägenhet,,0,57.6874807,11.9860839, 412 81,Johanneberg
Frida Hjertbergs gata 1,Göteborgs kommun,62.5,2.0,2596.0,3875000.0,2022-03-21,0.0,62000.0,Lägenhet,,0,57.6874807,11.9860839, 412 81,Johanneberg
Frida Hjertbergs Gata 2,Göteborgs kommun,81.0,3.0,3342.0,6000000.0,2022-03-17,9.0,74074.0,Lägenhet,,0,57.6874807,11.9860839, 412 81,Johanneberg
Frida Hjertbergs Gata 1,Göteborgs kommun,50.0,2.0,2077.0,4100000.0,2022-03-13,,82000.0,Lägenhet,,0,57.6874807,11.9860839, 412 81,Johanneberg
Eklandagatan 23C,Göteborgs kommun,52.5,3.0,3657.0,3450000.0,2022-04-28,0.0,65714.0,Lägenhet,,0,57.6924383,11.9868197, 412 81,Johanneberg
Lemansgatan 6,Göteborgs kommun,62.0,2.0,3862.0,3850000.0,2022-04-27,10.0,62097.0,Lägenhet,,0,57.688134649999995,11.986116804952427, 412 81,Johanneberg
Lemansgatan 6,Göteborgs kommun,69.0,3.0,4139.0,4680000.0,2022-04-22,8.0,67826.0,Lägenhet,,0,57.688134649999995,11.986116804952427, 412 81,Johanneberg
